0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:22:39 +0530] "POST /Depression_prediction_model/userinputtest HTTP/1.1" 200 11927
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:22:39 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:26:03 +0530] "GET /Depression_prediction_model/UserInputPage.jsp HTTP/1.1" 200 8012
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:26:03 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:26:23 +0530] "POST /Depression_prediction_model/userinputtest HTTP/1.1" 200 11927
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:26:23 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:27:10 +0530] "GET /Depression_prediction_model/UShow_Data_Page.jsp HTTP/1.1" 200 11876
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:27:10 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:27:14 +0530] "GET /Depression_prediction_model/UserInputPage.jsp HTTP/1.1" 200 8012
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:27:14 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:27:19 +0530] "POST /Depression_prediction_model/userinputtest HTTP/1.1" 200 11927
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:27:19 +0530] "GET /Depression_prediction_model/css/colors.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/UserInputPage.jsp HTTP/1.1" 200 8012
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:16:48:30 +0530] "GET /Depression_prediction_model/css/bootstrap-select.css HTTP/1.1" 304 -
